time,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,joint_6_velocity,joint_1_acceleration,joint_2_acceleration,joint_3_acceleration,joint_4_acceleration,joint_5_acceleration,joint_6_acceleration,quaternion_x,quaternion_y,quaternion_z,quaternion_w
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.38880847,-0.09044579,0.91303689,0.10779059,-0.00100332,0.00040340,0.00000000,0.00000000,0.00000000,1.00000000
0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03888085,-0.00904458,0.09130369,0.01077906,-0.00010033,0.00004034,-0.37355213,-0.06510854,0.86422871,0.09654731,0.00330905,0.00036163,0.00000000,0.00000000,0.00000000,1.00000000
0.20000000,-0.00388808,-0.00090446,0.00913037,0.00107791,-0.00001003,0.00000403,-0.07623606,-0.01555543,0.17772656,0.02043379,0.00023057,0.00007650,-0.35794777,-0.04015988,0.81529059,0.08535670,0.00758726,0.00032000,-0.00003828,-0.00085383,0.00014230,0.99999962
0.30000000,-0.01151169,-0.00246000,0.02690302,0.00312128,0.00001302,0.00001168,-0.11203084,-0.01957142,0.25925562,0.02896946,0.00098930,0.00010850,-0.34203411,-0.01561517,0.76621266,0.07422915,0.01182528,0.00027862,-0.00012333,-0.00256307,0.00042667,0.99999661
0.40000000,-0.02271477,-0.00441714,0.05282859,0.00601823,0.00011195,0.00002253,-0.14623425,-0.02113294,0.33587689,0.03639238,0.00217183,0.00013637,-0.32586110,0.00850483,0.71698407,0.06317663,0.01601605,0.00023763,-0.00027794,-0.00512543,0.00085378,0.99998646
0.50000000,-0.03733820,-0.00653044,0.08641628,0.00965747,0.00032914,0.00003617,-0.17882036,-0.02028246,0.40757529,0.04271004,0.00377343,0.00016013,-0.30949245,0.03217060,0.66759218,0.05221294,0.02015119,0.00019714,-0.00053817,-0.00853400,0.00142543,0.99996242
0.60000000,-0.05522024,-0.00855868,0.12717380,0.01392847,0.00070648,0.00005218,-0.20976960,-0.01706540,0.47433451,0.04793133,0.00578855,0.00017984,-0.29300733,0.05534134,0.61802230,0.04135417,0.02422083,0.00015726,-0.00095198,-0.01277610,0.00214480,0.99991562
0.70000000,-0.07619720,-0.01026522,0.17460726,0.01872161,0.00128534,0.00007017,-0.23907034,-0.01153126,0.53613674,0.05206675,0.00821063,0.00019557,-0.27650084,0.07796307,0.56825817,0.03061899,0.02821336,0.00011808,-0.00157756,-0.01783174,0.00301680,0.99983520
0.80000000,-0.10010423,-0.01141835,0.22822093,0.02392828,0.00210640,0.00008973,-0.26672042,-0.00373495,0.59296256,0.05512865,0.01103197,0.00020738,-0.26008323,0.09996751,0.51828326,0.02002898,0.03211521,0.00007972,-0.00248115,-0.02367189,0.00404843,0.99970850
0.90000000,-0.12677627,-0.01179184,0.28751719,0.02944115,0.00320960,0.00011046,-0.29272874,0.00626180,0.64479088,0.05713155,0.01424349,0.00021535,-0.24387747,0.12127173,0.46808258,0.00960891,0.03591075,0.00004225,-0.00373450,-0.03025684,0.00524897,0.99952139
1.00000000,-0.15604915,-0.01116566,0.35199627,0.03515430,0.00463394,0.00013200,-0.31711649,0.01838897,0.69159914,0.05809244,0.01783457,0.00021957,-0.22801529,0.14177853,0.41764532,-0.00061308,0.03958209,0.00000578,-0.00541181,-0.03753469,0.00663004,0.99925867
1.10000000,-0.18776079,-0.00932677,0.42115619,0.04096354,0.00641740,0.00015395,-0.33991802,0.03256682,0.73336367,0.05803113,0.02179278,0.00022015,-0.21263161,0.16137761,0.36696795,-0.01060532,0.04310907,-0.00002961,-0.00758641,-0.04544025,0.00820542,0.99890455
1.20000000,-0.22175260,-0.00607009,0.49449256,0.04676666,0.00859668,0.00017597,-0.36118118,0.04870458,0.77006047,0.05697060,0.02610368,0.00021719,-0.19785763,0.17994734,0.31605775,-0.02033263,0.04646926,-0.00006382,-0.01032702,-0.05389455,0.00999060,0.99844324
